,label,sentence
0,1, गुठी विधेक ल्याएर ठमेल मा राज गुठि को जग्गा मा बने को छाया सेन्टर जस्ता लाई जोगाउन को लागि ल्याउदैछ विधेक ।
1,1, दले ले देश सकेछन सबै बेचे र खान सुरू गरेछन अब दले लाई लखेटनु पछ ।
2,1, नेपाल को ससकृती ध्वस्त पार्ने योजना हो यो !
3,1, मठ मन्दिर गुम्बा का जग्गा हरु मा भुमाफिया को नजर परे को हुना ले यो विधेक आए को हो !
4,1, नेपाल का कल कर्खाना र नदि नाला बेची सके अब मठ मन्दीर लाई पनि बेची खाने नियत देखिन्छ ।
5,1, नेपाल का कल कर्खाना र नदि नाला बेची सके अब मठ मन्दीर लाई पनि बेची खाने नियत देखिन्छ ।
6,1, यो भणडारि लई कालोमोसो लगाएर भगउनु पर्छ तर्क चै नदीने खालि राम्रो छ मात्र भन्ने ।
7,1," अन्य देश मा जमिन राज्य काे हुन्छ , , जनता रदेश मा घात हुदैन , तर नेपाल मा , जमिन झाेले , झन्डे ले घात गरे अाफ्ने बनाउ छन ।"
8,0, सरकार बिदेशि को डिजाइन मा छ सनातन को सम्राट राजा लाइ हटाए पछि सास्कृतिक मास्न सजिलो हुन्छ भनेर तिब्र रुप मा अगाडि गणतन्त्र बड्दै छ ।
9,1, सरकार बिदेशि को डिजाइन मा छ सनातन को सम्राट राजा लाइ हटाए पछि सास्कृतिक मास्न सजिलो हुन्छ भनेर तिब्र रुप मा अगाडि गणतन्त्र बड्दै छ ।
10,1, याे भन्डारि दलाल लाइ किन ल्याएकाे ।
11,1, यो साला नाके बाहुन गूठी बिदयेक पारित गरेर भु माफिया सग अरबौ रुपियाँ लुतेर खाने दाउ मा छ ।
12,1, यो बिस्नु पौडेल को हनुमान हो ।
13,1, मुन को मुत खाको चोर हरु लाई गूठी देखि सकेनन् ।
14,1, गान्धी भारत मा अन्ति हिन्दु हुदा नाथुराम गोद्से ले गन्धी लाई गोलि हानी मरे ।
15,1, यो अन्तरबार्ता हेर्दा त गुठी को नाम मा लुटि खान पल्के का लाई सरकार ले नियमन गर्ने हरहिसाब पारदर्शी गर्न खोज्दा खेरी निन्द्रा हराम गरे जस्तो लागो ।
16,1, मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।
17,1, मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।
18,1, मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।
19,1, कमिसन खोरी हरु ले बाटो खोजी रहे को कुरा लाटा ले पनि बुजे को छ लाजमर्दो तर्क नगर चोर हरु ।
20,1, खान नपाए का भिकारी परेछ्न बा की केही नराख्ने भए ?
21,1," गुठी ब्यबस्थापन सम्बन्धी कुरा जनता लाइ त कसरी थाहा होस , मात्र काग ले कान लग्यो भन्दियो कसै ले , पछि दगुर्ने हुन् ।"
22,0, गुठी बिधयक सहि छ मात्र सबै ले बुझ्न नसके को हो ।
23,1, गुठी बिधयक सहि छ मात्र सबै ले बुझ्न नसके को हो ।
24,1, बन्जाडे मुला अलिक ठुलो नेता हरुलाइ लेउनु न हौ ।
25,1, योगि नरहरिनाथ ले उहिल्यै घोषणा गरे का रहेछ्न----- कलियुग को अन्त तिर राक्षस हरु ब्राह्मण कुल मा जन्म लिएर आउनेछ्न ।
26,1, तिनी हरु ले राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात मा लिनेछ्न ।
27,1, तिनी हरु ले राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात मा लिनेछ्न ।
28,1, आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।
29,1, आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।
30,1, आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।
31,1, यो सोम भन्ने मान्छे नै भू माफिया जस्तो लाग्यो ... गुठि खान आए को मान्छे ... गुठि जग्गा पूर्ण सरकार को हुनु पर्छ ... ।
32,0, धर्म संस्कृत जोगाउन नेवार मात्र नभइ बाहुन छेत्री तामाङ सबै छेत्र का मान्छे सडक मा आउनुपर्छ ।
33,1," धर्म सस्कृति सबै सकेर देश ईसाईकरण गर्छ ने क पा ले अब सरकारि जग्गा त बचाउन नसकिएकाे अबश्था मा , ।"
34,1, छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू ?
35,1, छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू ?
36,1, यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।
